#Header:polygon-version1.0
#ID LocationList Comment
#LineCount=119       
ZAN06;N 61 23 31.99 W 156 00 00,N 61 25 00.01 W 152 48 00,N 61 13 59.99 W 152 46 59.99,N 61 13 59.99 W 152 07 00.01,N 61 04 59.99 W 151 45 00,N 61 04 59.99 W 151 15 00,N 61 04 59.99 W 151 04 26,N 60 52 32.02 W 150 09 34.99,N 61 28 18.01 W 149 04 00.01,N 61 45 00 W 147 25 00.01,N 62 49 59.99 W 146 34 59.99,N 62 58 04.01 W 148 34 18.01,N 63 10 00.01 W 152 43 00.01,N 63 00 00 W 153 04 59.99,N 62 25 00.01 W 153 30 00;
ZAN07;N 60 46 59.99 W 150 07 00.01,N 60 30 00 W 150 00 00,N 59 10 59.99 W 150 00 00,N 59 00 00 W 146 00 00,N 59 29 02.18 W 142 07 24.6,N 60 31 59.99 W 141 19 59.99,N 60 21 00 W 139 10 59.99,N 62 00 00 W 141 00 00,N 63 19 59.99 W 141 00 00,N 62 49 59.99 W 146 34 59.99,N 61 45 00 W 147 25 00.01,N 61 28 18.01 W 149 04 00.01,N 60 51 33.7 W 149 33 57.89;
ZAN08;N 56 57 05 W 134 59 54.7,N 56 38 20.5 W 133 04 03.1,N 56 59 59.33 W 132 03 51.43,N 59 23 14.84 W 134 59 16.53,N 59 31 28.71 W 136 14 12.07,N 59 46 08.08 W 138 37 27.67,N 60 21 00 W 139 11 00,N 60 32 00 W 141 20 00,N 59 29 02.21 W 142 07 24.62,N 59 00 07.6 W 140 17 28.7,N 58 00 00 W 137 50 00;
ZAN09;N 59 11 00 W 150 00 00,N 57 27 50.9 W 150 31 51.4,N 56 45 42 W 151 45 00,N 56 00 00 W 153 00 00,N 53 30 00 W 160 00 00,N 52 35 59.8 W 163 40 45,N 53 27 55 W 167 20 14,N 54 13 02 W 167 44 39,N 55 00 00 W 167 00 00,N 56 58 00 W 165 00 00,N 56 58 00 W 162 30 00,N 59 08 00 W 159 30 00,N 59 30 00 W 158 00 00,N 59 54 00 W 156 25 00,N 59 30 00 W 155 20 00,N 59 09 43 W 152 17 29;
ZAN10;N 60 35 15 W 168 21 49.9,N 59 24 15 W 167 54 50.8,N 58 44 22.6 W 167 42 47.9,N 56 58 00 W 165 00 00,N 55 00 00 W 167 00 00,N 54 13 02 W 167 44 39,N 53 27 55 W 167 20 14,N 52 35 59.8 W 163 40 45,N 51 24 00 W 167 49 00,N 50 08 00 W 176 34 00,N 45 42 00 E 162 55 00,N 49 21 47.6 E 159 42 04.8,N 50 05 00 E 159 00 00,N 54 00 00 E 169 00 00,N 54 40 40 E 170 00 00,N 60 00 00 W 180 00 00,N 62 57 30.91 W 174 34 57.6,N 62 40 12 W 170 45 09;
ZAN13;N 61 23 22.3 W 156 27 42.2,N 60 35 17.47 W 156 26 13.17,N 59 54 00 W 156 25 00,N 59 30 00 W 158 00 00,N 59 08 00 W 159 30 00,N 56 58 00 W 162 30 00,N 56 58 00 W 165 00 00,N 58 44 22.6 W 167 42 47.9,N 59 24 15 W 167 54 50.8,N 60 35 15 W 168 21 49.9,N 61 52 11.5 W 166 26 22.4,N 62 27 00 W 163 15 00,N 61 37 15 W 158 14 00;
ZAN14;N 60 52 32.02 W 150 09 34.99,N 60 46 59.99 W 150 07 00.01,N 60 30 00 W 150 00 00,N 59 10 59.99 W 150 00 00,N 59 00 00 W 146 00 00,N 60 10 00.01 W 144 00 00,N 61 49 59.99 W 145 00 00,N 61 45 00 W 147 25 00.01,N 61 28 18.01 W 149 04 00.01;
ZAN15;N 67 19 60 W 141 00 00,N 66 40 00 W 141 00 00,N 66 40 00 W 144 30 00,N 66 00 00 W 145 15 25,N 65 59 59.7 W 145 50 32.2,N 65 40 00 W 146 17 00,N 65 15 16.1 W 147 11 32.3,N 65 00 16.4 W 147 17 06.5,N 64 50 19 W 147 29 15,N 64 45 12 W 147 37 50,N 64 26 07.3 W 147 51 15.5,N 64 22 30 W 147 58 00,N 63 58 00 W 148 00 00,N 62 58 04.6 W 148 34 18.5,N 63 10 00 W 152 43 00,N 64 44 00 W 154 20 00,N 65 40 55.2 W 154 06 30,N 66 06 60 W 154 00 00;
ZAN16;N 66 40 00 W 141 00 00,N 63 20 00 W 141 00 00,N 62 50 00 W 146 34 00,N 62 58 04.6 W 148 34 18.5,N 63 58 00 W 148 00 00,N 64 22 30 W 147 58 00,N 64 26 07.3 W 147 51 15.5,N 64 45 12 W 147 37 50,N 64 50 19 W 147 29 15,N 65 00 16.4 W 147 17 06.5,N 65 15 16.1 W 147 11 32.3,N 65 40 00 W 146 17 00,N 65 59 59.7 W 145 50 32.2,N 66 00 00 W 145 15 25,N 66 40 00 W 144 30 00;
ZAN63;N 65 40 55.2 W 154 06 30,N 64 44 00 W 154 20 00,N 63 10 00 W 152 43 00,N 63 00 00 W 153 05 00,N 62 25 00 W 153 30 00,N 61 23 32.1 W 156 00 00,N 61 23 00 W 156 25 00,N 61 23 22.3 W 156 27 42.2,N 60 35 17.47 W 156 26 13.17,N 59 24 15 W 167 54 50.8,N 60 35 15 W 168 21 49.9,N 62 40 12 W 170 45 09,N 62 57 30 W 174 34 57.6,N 64 03 00 W 172 12 00,N 65 00 00 W 168 58 23,N 66 27 00 W 168 58 23,N 66 38 00 W 164 50 00,N 66 00 00 W 163 00 00,N 66 06 60 W 157 00 00;
