FORMAT LATLON METERS
#Time LonDeg              LatDeg              AltM                
454.0 -64.2892395049      45.0691076738       315013.272719       
455.0 -64.2348359348      45.0989675916       315536.574459       
456.0 -64.180309841       45.1288410639       316057.72347        
457.0 -64.1256626432      45.1587268222       316576.693218       
458.0 -64.0708957809      45.1886235928       317093.456131       
459.0 -64.0160107131      45.2185300962       317607.983595       
460.0 -63.9610116136      45.2484433248       318120.16834        
461.0 -63.9058945233      45.2783654832       318630.136691       
462.0 -63.8506636605      45.3082935472       319137.779354       
463.0 -63.7953205484      45.338226227        319643.063951       
464.0 -63.7398667299      45.3681622287       320145.957067       
465.0 -63.6843037671      45.3981002543       320646.424246       
466.0 -63.6286332401      45.4280390018       321144.429976       
467.0 -63.5728567495      45.4579771656       321639.937688       
468.0 -63.516975914       45.4879134357       322132.909742       
469.0 -63.4609923724      45.517846499        322623.307425       
470.0 -63.4049131012      45.5477716325       323110.960843       
471.0 -63.3487285325      45.5776947212       323596.10426        
472.0 -63.2924457433      45.6076109873       324078.564591       
473.0 -63.2360663253      45.63751918         324558.302042       
474.0 -63.1795918802      45.6674180514       325035.276007       
475.0 -63.1230278095      45.6973039489       325509.35212        
476.0 -63.0663650654      45.7271824032       325980.749854       
477.0 -63.0096069104      45.7570511155       326449.387568       
478.0 -62.9527564208      45.7869079215       326915.186838       
479.0 -62.8958107144      45.8167544257       327378.216428       
480.0 -62.838769531       45.84659057         327838.480519       
481.0 -62.7816328847      45.8764161241       328295.976445       
482.0 -62.7244005262      45.9062310228       328750.70799        
483.0 -62.6670721533      45.936035233        329202.680268       
484.0 -62.6096474796      45.9658287112       329651.898001       
485.0 -62.5521262059      45.9956114198       330098.366294       
486.0 -62.494508063       46.0253833035       330542.089228       
487.0 -62.4367927883      46.0551443001       330983.07096        
488.0 -62.378980105       46.0848943565       331421.315916       
489.0 -62.3210697353      46.1146334191       331856.828533       
490.0 -62.2630613997      46.1443614337       332289.613252       
491.0 -62.2049548193      46.1740783461       332719.674524       
492.0 -62.1467497129      46.2037841014       333147.016807       
493.0 -62.0884458024      46.2334786413       333571.64487        
494.0 -62.0300427998      46.2631619163       333993.562577       
495.0 -61.9715404251      46.2928338673       334412.774707       
496.0 -61.9129383948      46.3224944379       334829.285748       
497.0 -61.8542364237      46.3521435711       335243.100197       
498.0 -61.7954342268      46.3817812097       335654.222556       
499.0 -61.7365315172      46.411407296        336062.657339       
500.0 -61.6775280081      46.4410217718       336468.409067       
501.0 -61.6184234116      46.4706245786       336871.482269       
502.0 -61.5592174384      46.5002156575       337271.881485       
503.0 -61.4999097007      46.5297949943       337669.622924       
504.0 -61.440500106       46.5593624377       338064.687635       
505.0 -61.3809882647      46.5889179731       338457.091854       
506.0 -61.3213738843      46.6184615396       338846.840112       
507.0 -61.2616566722      46.6479930758       339233.936947       
508.0 -61.2018363352      46.67751252         339618.386903       
509.0 -61.1419125782      46.70701981         340000.194529       
510.0 -61.0818851065      46.7365148832       340379.364381       
511.0 -61.0217536234      46.7659976763       340755.90102        
512.0 -60.9615178324      46.7954681258       341129.809016       
513.0 -60.9011768163      46.8249264636       341501.16034        
514.0 -60.8407315288      46.8543720259       341869.823305       
515.0 -60.78018105        46.8838050453       342235.869999       
516.0 -60.719525082       46.9132254548       342599.304703       
517.0 -60.6587633271      46.9426331872       342960.131674       
518.0 -60.5978954862      46.9720281745       343318.355153       
519.0 -60.5369212601      47.0014103481       343673.979359       
520.0 -60.4758403492      47.0307796391       344027.008494       
521.0 -60.4146524525      47.0601359777       344377.446738       
522.0 -60.3533572692      47.0894792938       344725.298254       
523.0 -60.2919552216      47.1188091706       345070.490054       
524.0 -60.2304445678      47.1481262249       345413.179455       
525.0 -60.1688257278      47.1774300387       345753.293606       
526.0 -60.1070984         47.2067205385       346090.836389       
527.0 -60.0452622823      47.2359976504       346425.81165        
528.0 -59.9833170713      47.2652612995       346758.223199       
529.0 -59.9212624643      47.2945114107       347088.07481        
530.0 -59.8590981571      47.3237479077       347415.370223       
531.0 -59.7968238455      47.3529707141       347740.11314        
532.0 -59.7344392251      47.3821797525       348062.307228       
